GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Tue May 26 05:57:03 2015
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Sulfurimonas_denitrificans_DSM_1251/GeneMark_hmm_combined.mod
RBS: true
Model information: Sulfurimonas_denitrificans_DSM_1251

FASTA definition line: AD-820-E17_NODE_1_length_88502_cov_101.2_ID_1
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
   87        -       86701       87873         1173        1
   88        +       88085       88336          252        1
   89        -       88343       88498          156        1

FASTA definition line: AD-820-E17_NODE_2_length_64191_cov_107.129_ID_3
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
   90        +          <3         353          351        1
   91        +         355         954          600        1
   92        -         986        1855          870        2
   93        +        2131        4065         1935        1
   94        -        4067        5281         1215        1
   95        +        5418        5759          342        1
   96        +        5848        6324          477        2
   97        +        6332        6820          489        1
   98        +        6817        8088         1272        1
   99        +        8085        8960          876        1
  100        +        8985        9320          336        2
  101        +        9317       10006          690        1
  102        +       10009       11112         1104        1
  103        +       11105       11968          864        1
  104        +       11970       12743          774        1
  105        +       12758       13789         1032        1
  106        +       16268       16483          216        2
  107        -       17339       17425           87        1
  108        +       18506       18637          132        2
  109        +       19560       20225          666        1
  110        -       20218       21225         1008        1
  111        -       21222       23174         1953        1
  112        -       23264       24349         1086        1
  113        -       24346       25662         1317        1
  114        +       25852       26562          711        2
  115        +       26572       26793          222        1
  116        +       26804       28951         2148        1
  117        +       28970       30169         1200        1
  118        +       30169       31260         1092        1
  119        +       31268       32665         1398        1
  120        -       32728       33804         1077        1
  121        -       33866       36034         2169        1
  122        -       36087       36494          408        1
  123        +       36709       36984          276        1
  124        +       37170       37853          684        2
  125        -       37896       38612          717        1
  126        +       38670       39365          696        1
  127        +       39353       39745          393        1
  128        +       39738       41030         1293        1
  129        +       41027       41818          792        1
  130        +       41842       42876         1035        1
  131        -       42926       43369          444        1
  132        +       43436       44155          720        1
  133        +       44139       45551         1413        1
  134        +       45615       46181          567        1
  135        -       46206       47009          804        2
  136        -       47107       49737         2631        1
  137        -       49835       50263          429        2
  138        -       50327       51148          822        1
  139        -       51296       51652          357        1
  140        +       52054       53046          993        1
  141        +       53043       55376         2334        1
  142        +       55373       56653         1281        1
  143        +       56697       57524          828        1
  144        +       57643       59298         1656        1
  145        +       59307       59789          483        2
  146        +       59789       61375         1587        1
  147        -       61429       63120         1692        1
  148        -       63123      >64190         1068        1

FASTA definition line: AD-820-E17_NODE_3_length_40305_cov_107.454_ID_5
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  149        +         178         516          339        1
  150        +         666         959          294        1
  151        -        1012        2424         1413        1
  152        -        2440        3813         1374        2
  153        -        3831        5033         1203        1
  154        -        5033        5581          549        1
  155        -        5590        5922          333        2
  156        -        5936        6376          441        1
  157        -        6389        7066          678        2
  158        -        7053        7862          810        1
  159        -        7863        8720          858        1
  160        +        8783        9166          384        1
  161        +        9156       10085          930        1
  162        +       10189       10899          711        1
  163        -       10970       11860          891        1
  164        +       11950       13242         1293        1
  165        +       13235       13570          336        1
  166        +       13554       14063          510        1
  167        -       14290       14973          684        1
  168        -       14986       16854         1869        1
  169        +       16997       17815          819        1
  170        +       17840       18628          789        2
  171        +       18836       19357          522        2
  172        +       19326       20795         1470        2
  173        +       20961       21473          513        1
  174        +       21473       22540         1068        1
  175        +       22541       22789          249        1
  176        +       22780       23130          351        1
  177        +       23130       23966          837        1
  178        +       24039       24509          471        1
  179        +       24506       24652          147        1
  180        -       24657       24740           84        2
  181        +       24874       25533          660        1
  182        +       25544       26878         1335        1
  183        -       26913       27218          306        1
  184        -       27338       28537         1200        1
  185        +       28629       29132          504        1
  186        -       29373       30104          732        1
  187        +       30166       30453          288        1
  188        -       30506       30652          147        2
  189        +       30886       32052         1167        2
  190        +       32137       32784          648        1
  191        -       32830       33399          570        1
  192        -       33399       35156         1758        1
  193        +       35317       36057          741        1
  194        -       36079       37230         1152        2
  195        +       37422       38276          855        1
  196        +       38367       38486          120        2
  197        -       38555       39655         1101        1
  198        -       39716       40279          564        2

FASTA definition line: AD-820-E17_NODE_4_length_36584_cov_122.477_ID_7
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  199        +         171        1775         1605        1
  200        +        1861        3621         1761        1
  201        -        3634        3954          321        1
  202        -        3955        4578          624        1
  203        +        4635        5546          912        1
  204        -        5582        6769         1188        1
  205        -        6762        7892         1131        2
  206        -        7910        8098          189        1
  207        +        8256        9062          807        2
  208        +        9059       10453         1395        1
  209        +       10513       11151          639        1
  210        +       11148       11735          588        1
  211        +       11722       12543          822        1
  212        -       12547       13482          936        1
  213        -       13499       14716         1218        1
  214        -       14830       15057          228        1
  215        -       15178       15924          747        1
  216        -       15948       17423         1476        1
  217        +       17766       18827         1062        2
  218        +       18827       20029         1203        1
  219        +       20026       20583          558        1
  220        +       20571       21170          600        1
  221        -       21580       21825          246        2
  222        -       21822       22004          183        1
  223        -       22031       22381          351        2
  224        -       22404       22754          351        1
  225        -       22811       23170          360        1
  226        -       23181       23954          774        2
  227        -       24002       24340          339        1
  228        -       24942       25199          258        1
  229        +       25320       25685          366        2
  230        -       25722       27035         1314        1
  231        -       27032       28468         1437        1
  232        -       28465       30315         1851        1
  233        -       30312       30611          300        1
  234        -       30604       31077          474        1
  235        -       31074       31625          552        2
  236        -       31622       32578          957        1
  237        -       32589       34253         1665        1
  238        -       34232       34705          474        2
  239        -       34689       35048          360        2
  240        +       35320       35538          219        2
  241        +       35684       35911          228        2
  242        +       35918       36136          219        2

FASTA definition line: AD-820-E17_NODE_5_length_33065_cov_118.255_ID_9
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  243        -          43         405          363        2
  244        -         415        1119          705        1
  245        +        1215        2294         1080        1
  246        -        2271        2633          363        2
  247        +        2691        3398          708        1
  248        -        3421        3699          279        1
  249        -        3713        4354          642        1
  250        +        4467        5297          831        1
  251        +        5301        6155          855        1
  252        -        6250        6930          681        1
  253        +        7079        9658         2580        1
  254        +        9913       11103         1191        1
  255        +       11105       12241         1137        1
  256        +       12241       12813          573        1
  257        +       12810       13808          999        1
  258        +       13871       14974         1104        1
  259        +       14971       16017         1047        1
  260        +       16018       16926          909        1
  261        +       16923       17627          705        1
  262        +       17617       18387          771        1
  263        +       18404       19159          756        2
  264        +       19156       19758          603        2
  265        +       19767       20981         1215        1
  266        +       20996       21535          540        1
  267        +       21538       23061         1524        2
  268        +       23061       24893         1833        2
  269        +       24886       25554          669        1
  270        +       25532       26122          591        1
  271        +       26123       27253         1131        1
  272        +       27250       28236          987        2
  273        +       28233       29033          801        2
  274        +       29045       29851          807        2
  275        +       29959       30681          723        1
  276        +       30678       31820         1143        2
  277        +       31821       32696          876        1
  278        +       32775       33026          252        1

FASTA definition line: AD-820-E17_NODE_6_length_29849_cov_102.506_ID_11
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  279        +          <3        1004         1002        1
  280        +        1055        1564          510        1
  281        +        1574        2611         1038        1
  282        +        2611        3345          735        1
  283        +        3347        4792         1446        1
  284        +        4804        8574         3771        1
  285        +        8561        9355          795        1
  286        -        9342        9497          156        1
  287        +        9569       10606         1038        1
  288        +       10603       11085          483        1
  289        +       11082       12365         1284        1
  290        +       12375       12872          498        2
  291        -       12928       13026           99        2
  292        +       13237       14064          828        1
  293        +       14057       15331         1275        1
  294        +       15484       17184         1701        1
  295        +       17187       18020          834        1
  296        +       18060       20111         2052        1
  297        -       20129       21097          969        2
  298        -       21099       21755          657        1
  299        -       21752       22687          936        1
  300        -       22680       23762         1083        1
  301        -       23755       25224         1470        1
  302        -       25224       26918         1695        1
  303        +       27078       29387         2310        1
  304        -       29390      >29848          459        1

FASTA definition line: AD-820-E17_NODE_7_length_28829_cov_122.99_ID_13
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  305        +          <3         191          189        1
  306        +         193         591          399        1
  307        -         588         947          360        1
  308        -         944        2086         1143        1
  309        -        2067        3641         1575        1
  310        -        3638        4549          912        1
  311        -        4550        5047          498        1
  312        +        5118        5618          501        1
  313        +        5683        6588          906        1
  314        -        6731        8617         1887        1
  315        -        8744        9301          558        1
  316        +        9508       12036         2529        1
  317        -       12069       13211         1143        1
  318        -       13205       13630          426        2
  319        -       13630       15489         1860        1
  320        -       15569       16129          561        1
  321        -       16153       17943         1791        1
  322        -       17988       18914          927        1
  323        -       18992       19405          414        1
  324        +       19500       20600         1101        2
  325        -       20604       21323          720        1
  326        -       22286       23380         1095        2
  327        -       23566       24816         1251        1
  328        -       24889       26649         1761        1
  329        -       26695       27438          744        1
  330        -       27442       28797         1356        1

FASTA definition line: AD-820-E17_NODE_8_length_28508_cov_125.364_ID_15
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  331        +          <1         390          390        1
  332        +         395        1492         1098        2
  333        +        1742        2080          339        2
  334        +        2085        2906          822        1
  335        -        2936        4972         2037        1
  336        -        4965        6020         1056        1
  337        -        6020        6424          405        2
  338        -        6424        7416          993        2
  339        -        7485        9752         2268        2
  340        -        9912       10310          399        2
  341        -       10435       12627         2193        1
  342        -       12681       13349          669        1
  343        -       13367       14479         1113        2
  344        +       14535       15506          972        1
  345        +       15454       16824         1371        1
  346        +       16836       18005         1170        1
  347        +       17998       18669          672        1
  348        +       18656       19468          813        1
  349        +       19465       20691         1227        1
  350        +       20759       22231         1473        1
  351        -       22262       22567          306        2
  352        -       22640       23398          759        1
  353        +       23625       24821         1197        1
  354        +       24799       25656          858        2
  355        +       25739       26092          354        1
  356        +       26110       26823          714        1
  357        -       26832       28421         1590        1

FASTA definition line: AD-820-E17_NODE_9_length_27943_cov_91.6937_ID_17
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  358        +          <1         648          648        1
  359        +         636         800          165        1
  360        +         797        1573          777        1
  361        +        1665        2894         1230        2
  362        +        2887        3705          819        1
  363        +        3707        4279          573        1
  364        +        4276        4770          495        1
  365        +        4767        5288          522        1
  366        +        5285        5755          471        1
  367        +        5755        6375          621        2
  368        +        6338        6826          489        2
  369        +        7242        9026         1785        2
  370        -        9054        9983          930        1
  371        -        9983       10402          420        1
  372        -       10485       10667          183        2
  373        +       10775       11455          681        1
  374        +       11448       12119          672        1
  375        -       12143       13276         1134        1
  376        -       13299       14303         1005        1
  377        -       14300       16234         1935        1
  378        -       16250       16456          207        2
  379        -       16440       17285          846        1
  380        -       17286       17789          504        1
  381        +       17892       18401          510        1
  382        -       18396       18680          285        2
  383        -       18677       19975         1299        1
  384        -       20255       20800          546        1
  385        -       20980       21189          210        1
  386        -       21186       21269           84        1
  387        -       21569       21724          156        1
  388        +       21827       22177          351        2
  389        -       22200       22523          324        1
  390        +       22631       22906          276        2
  391        +       23582       24208          627        2
  392        -       24268       24828          561        1
  393        -       24838       25695          858        1
  394        -       25697       26851         1155        1
  395        -       26851       27201          351        2
  396        -       27241       27531          291        1
  397        -       27535      >27942          408        2

FASTA definition line: AD-820-E17_NODE_10_length_26436_cov_52.1952_ID_19
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  398        +          32        3094         3063        1
  399        +        3197        4504         1308        1
  400        +        4564        4791          228        2
  401        +        4788        6926         2139        1
  402        +        6994        8562         1569        1
  403        +        8631        9293          663        2
  404        +        9306       10577         1272        1
  405        +       10587       12035         1449        1
  406        -       12083       12418          336        1
  407        -       12408       12953          546        1
  408        +       13022       14023         1002        1
  409        +       14032       15234         1203        1
  410        +       15238       15945          708        1
  411        -       15993       16409          417        2
  412        +       16551       17822         1272        1
  413        +       18026       18946          921        1
  414        -       19066       20202         1137        1
  415        +       20380       20625          246        1
  416        +       20635       21936         1302        1
  417        +       21929       22552          624        1
  418        +       22542       22997          456        1
  419        +       22978       23814          837        1
  420        +       23830       24861         1032        1
  421        +       24858       25421          564        1
  422        +       25411       25980          570        1
  423        -       25961      >26434          474        1

FASTA definition line: AD-820-E17_NODE_11_length_25960_cov_71.0871_ID_21
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  424        +          <3        1061         1059        2
  425        +        1147        1671          525        1
  426        +        1691        2161          471        1
  427        +        2213        2548          336        2
  428        +        2552        3316          765        1
  429        +        3326        5086         1761        1
  430        +        5197        6684         1488        1
  431        +        6697        7599          903        1
  432        +        7596        7970          375        1
  433        +        8006        8398          393        1
  434        +        8427        9353          927        2
  435        +        9377        9835          459        1
  436        +        9898       10245          348        2
  437        +       10315       13878         3564        1
  438        +       13878       15350         1473        2
  439        +       15462       16781         1320        2
  440        +       16961       18919         1959        1
  441        -       19117       19902          786        1
  442        +       20036       20620          585        1
  443        +       20779       22023         1245        2
  444        -       22073       22666          594        1
  445        +       22950       23324          375        1
  446        -       23414       23650          237        1
  447        +       23797       24450          654        1
  448        -       24635      >25960         1326        1

FASTA definition line: AD-820-E17_NODE_12_length_24689_cov_124.772_ID_23
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  449        -         102        1685         1584        1
  450        -        1736        2311          576        1
  451        +        2447        3178          732        2
  452        +        3200        3982          783        1
  453        +        3979        4614          636        1
  454        +        4624        5031          408        1
  455        +        5015        5260          246        1
  456        +        5299        5796          498        1
  457        +        5783        6787         1005        1
  458        +        6777        7514          738        1
  459        +        7518        8459          942        1
  460        +        8470       10860         2391        1
  461        +       10860       11357          498        2
  462        +       11370       12491         1122        1
  463        +       12496       13224          729        1
  464        +       13237       14199          963        1
  465        +       14200       14799          600        1
  466        +       14796       16079         1284        1
  467        +       16245       17339         1095        1
  468        +       17332       19170         1839        1
  469        +       19167       20045          879        2
  470        +       20042       20452          411        1
  471        -       20454       20882          429        1
  472        -       20887       21159          273        1
  473        -       21159       21551          393        1
  474        -       21580       22023          444        2
  475        -       22033       22983          951        1
  476        -       22980       23471          492        1
  477        -       23477       24133          657        1
  478        -       24135       24671          537        1

FASTA definition line: AD-820-E17_NODE_13_length_21066_cov_123.121_ID_25
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  479        +         162        1382         1221        1
  480        +        1659        1898          240        1
  481        +        1913        2146          234        2
  482        +        2250        2531          282        2
  483        -        2751        3002          252        2
  484        -        3023        3703          681        2
  485        +        3967        4356          390        1
  486        +        4360        4899          540        1
  487        +        4956        6596         1641        1
  488        -        6600        7943         1344        1
  489        -        7960        9102         1143        1
  490        -        9113        9730          618        1
  491        -        9717       10265          549        1
  492        -       10341       11552         1212        1
  493        -       11553       12023          471        2
  494        +       12205       13164          960        1
  495        +       13213       13644          432        1
  496        +       13637       14437          801        1
  497        +       14430       15458         1029        1
  498        +       15600       16787         1188        1
  499        -       16807       17577          771        1
  500        -       17577       18602         1026        1
  501        +       18770       18979          210        2
  502        -       19039       19248          210        1
  503        +       19451       19858          408        1
  504        +       19888       20433          546        2
  505        +       20458       20721          264        1

FASTA definition line: AD-820-E17_NODE_14_length_16582_cov_90.5557_ID_27
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  506        +          31         558          528        1
  507        +         555        1637         1083        1
  508        +        1634        2728         1095        1
  509        +        2747        4453         1707        1
  510        +        4453        5481         1029        1
  511        +        5484        6281          798        1
  512        +        6307        8127         1821        1
  513        -        8119        8766          648        1
  514        +        8876       10975         2100        1
  515        +       10972       12156         1185        1
  516        +       12159       12386          228        2
  517        +       12386       12814          429        1
  518        -       12786       12962          177        2
  519        +       13044       13733          690        2
  520        +       13734       14303          570        1
  521        -       14313       14705          393        1
  522        -       14671       15369          699        1
  523        -       15347       16450         1104        1
  524        -       16447      >16581          135        2

FASTA definition line: AD-820-E17_NODE_15_length_14448_cov_18.6097_ID_29
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  525        +          <2        1747         1746        1
  526        +        1873        2538          666        1
  527        -        2566        3132          567        1
  528        -        3337        4434         1098        1
  529        +        4489        5310          822        1
  530        -        5287        7065         1779        1
  531        -        7137        7448          312        1
  532        -        7465        7959          495        1
  533        -        7969        8400          432        1
  534        +        8595        9071          477        1
  535        +        9246        9725          480        1
  536        +        9729       11588         1860        1
  537        -       11589       12290          702        2
  538        +       12343       12966          624        1
  539        -       12953       13057          105        2
  540        +       13051       14343         1293        1

FASTA definition line: AD-820-E17_NODE_16_length_13248_cov_115.049_ID_31
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  541        +          <1         387          387        1
  542        +         401        1540         1140        1
  543        +        1550        2584         1035        1
  544        +        2587        3105          519        1
  545        +        3145        4179         1035        1
  546        +        4243        5178          936        1
  547        -        5505        6848         1344        1
  548        -        6848        6964          117        2
  549        -        6957        9719         2763        1
  550        +        9848       10936         1089        1
  551        +       12209       12496          288        1
  552        +       12478       12957          480        1
  553        +       13037      >13252          216        1

FASTA definition line: AD-820-E17_NODE_17_length_13247_cov_22.3727_ID_33
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  554        -          <2        1048         1047        1
  555        -        1078        1905          828        1
  556        -        1931        2818          888        1
  557        -        2790        3518          729        1
  558        -        3515        4939         1425        1
  559        -        5081        6505         1425        1
  560        -        6602        8014         1413        2
  561        -        8149        8412          264        1
  562        -        8421        9095          675        2
  563        -        9201       10217         1017        1
  564        -       10229       11068          840        1
  565        -       11040       11750          711        1
  566        -       11747      >13246         1500        1

FASTA definition line: AD-820-E17_NODE_18_length_13214_cov_19.3559_ID_35
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  567        -          <3        2714         2712        2
  568        -        2901        3488          588        1
  569        -        3534        5351         1818        1
  570        -        5355        6557         1203        1
  571        +        6731        8053         1323        1
  572        -        8105        8620          516        1
  573        -        8617       10425         1809        1
  574        -       10447       12135         1689        1
  575        -       12439       12582          144        2
  576        -       12800       12967          168        2

FASTA definition line: AD-820-E17_NODE_19_length_12943_cov_129.192_ID_37
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  577        +          <2         208          207        2
  578        +         210        1442         1233        1
  579        +        1545        2978         1434        2
  580        +        2975        3721          747        1
  581        +        3721        4860         1140        1
  582        +        4873        5295          423        2
  583        +        5292        5618          327        2
  584        +        5802        6149          348        1
  585        +        6159        7394         1236        1
  586        +        7409        7711          303        1
  587        -        7729        8022          294        2
  588        -        8022        8153          132        1
  589        -        8177        8575          399        2
  590        -        8575        9582         1008        1
  591        +        9780       10346          567        1
  592        +       10346       10723          378        1
  593        -       10720       11817         1098        1
  594        -       11933       12829          897        1

FASTA definition line: AD-820-E17_NODE_20_length_11664_cov_27.9686_ID_39
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  595        -         152        1162         1011        1
  596        -        1182        7010         5829        1
  597        -        7007        7234          228        1
  598        -        7231        9072         1842        1
  599        -        9069       10301         1233        1
  600        -       10301       11074          774        2
  601        -       11075       11653          579        1

FASTA definition line: AD-820-E17_NODE_21_length_11555_cov_88.438_ID_41
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  602        +          <3        1601         1599        2
  603        +        1961        2323          363        2
  604        +        2333        3067          735        1
  605        +        3060        4580         1521        1
  606        +        4593        5768         1176        1
  607        +        5768        6889         1122        1
  608        +        6882        8342         1461        2
  609        +        8357        8971          615        2
  610        +        8975       10897         1923        1

FASTA definition line: AD-820-E17_NODE_22_length_11376_cov_15.6166_ID_43
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  611        +          <3         536          534        1
  612        +         548        1684         1137        1
  613        +        1907        3385         1479        2
  614        +        3401        4093          693        1
  615        +        4106        4309          204        1
  616        +        4319        5236          918        2
  617        +        5247        5456          210        1
  618        +        5468        5557           90        2
  619        -        5615        7987         2373        1
  620        -        7990        8163          174        2
  621        -        8244        9227          984        1
  622        -        9284      >11374         2091        1

FASTA definition line: AD-820-E17_NODE_23_length_9925_cov_121.802_ID_45
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  623        -          43        1437         1395        2
  624        +        1887        3002         1116        2
  625        +        3310        4227          918        2
  626        +        4382        4573          192        1
  627        +        4567        5001          435        2
  628        +        4991        6430         1440        1
  629        -        6838        7242          405        2
  630        -        7402        7671          270        1
  631        +        7846        9558         1713        1
  632        -        9668        9850          183        2

FASTA definition line: AD-820-E17_NODE_24_length_9264_cov_109.547_ID_47
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  633        -          <1         480          480        1
  634        +         568        1059          492        2
  635        -        1061        1885          825        2
  636        -        1888        3171         1284        1
  637        -        3174        4541         1368        1
  638        -        4694        6403         1710        1
  639        -        6414        8231         1818        1
  640        +        8462       >9262          801        2

FASTA definition line: AD-820-E17_NODE_25_length_8694_cov_100.33_ID_49
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  641        -         156         443          288        1
  642        -         443         949          507        2
  643        -         959        2671         1713        1
  644        -        2814        4019         1206        1
  645        +        4127        4948          822        1
  646        +        4960        6033         1074        1
  647        +        6045        6863          819        1
  648        -        6888        7487          600        2
  649        -        7554        8654         1101        1

FASTA definition line: AD-820-E17_NODE_26_length_7672_cov_12.6619_ID_51
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  650        -          88         615          528        1
  651        -         616        1035          420        1
  652        -        1045        2292         1248        1
  653        -        2317        3165          849        1
  654        -        3217        4323         1107        1
  655        +        4433        5200          768        1
  656        -        5237        5776          540        2
  657        -        5773        6261          489        2
  658        -        6281        7636         1356        1

FASTA definition line: AD-820-E17_NODE_27_length_6117_cov_7.31854_ID_53
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  659        -          <2         757          756        1
  660        -         771        2600         1830        1
  661        +        2710        4485         1776        1
  662        +        4608        4856          249        1
  663        +        4853        5839          987        1
  664        +        5836       >6117          282        1

FASTA definition line: AD-820-E17_NODE_28_length_5737_cov_121.914_ID_55
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  665        +          86         724          639        2
  666        +         725        1135          411        2
  667        -        1374        1715          342        1
  668        +        1842        3107         1266        1
  669        +        3085        3780          696        1
  670        -        3783        3926          144        2
  671        -        4087       >5736         1650        1

FASTA definition line: AD-820-E17_NODE_29_length_5624_cov_12.5508_ID_57
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  672        -          <1         897          897        1
  673        -        1012        1824          813        1
  674        -        1835        3133         1299        1
  675        -        3262        5598         2337        2

FASTA definition line: AD-820-E17_NODE_30_length_5156_cov_14.3929_ID_59
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  676        +          30        1298         1269        1
  677        +        1311        2054          744        1
  678        -        2108        3613         1506        2
  679        -        3661       >5154         1494        2

FASTA definition line: AD-820-E17_NODE_31_length_5134_cov_131.912_ID_61
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  680        +           1         795          795        1
  681        -         797        1129          333        1
  682        +        1324        2340         1017        2
  683        -        2348        3067          720        1
  684        -        3149        4324         1176        2
  685        -        4486        4824          339        1

FASTA definition line: AD-820-E17_NODE_32_length_4935_cov_125.684_ID_63
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  686        -          <2         952          951        1
  687        -         960        3071         2112        2
  688        -        3217        3663          447        1
  689        -        3656        3889          234        1
  690        -        3989        4930          942        1

FASTA definition line: AD-820-E17_NODE_33_length_4694_cov_13.4955_ID_65
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  691        +          <1        1851         1851        1
  692        +        1848        2219          372        1
  693        +        2216        2668          453        1
  694        +        2662        3681         1020        1
  695        +        3674        4399          726        1
  696        +        4406       >4693          288        1

FASTA definition line: AD-820-E17_NODE_34_length_4551_cov_14.7145_ID_67
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  697        -          <2         403          402        1
  698        -         475        1122          648        2
  699        -        1115        1996          882        1
  700        -        2045        2674          630        1
  701        +        2785        3249          465        1
  702        -        3297        3857          561        1
  703        -        3890        4183          294        1
