                              GENEMARK PREDICTIONS

Sequence: AD-820-E17_NODE_1_length_88502_cov_101.2_ID_1
Sequence file: seq.fna
Sequence length: 702326
GC Content:  34.52%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Heuristic, GC = 34
Matrix author: Borodovsky Laboratory - Georgia Tech, School of Biology, Atlanta, GA, USA
Matrix order: 2

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
   10963     11100  direct      fr 1   0.65  0.27  

   11081     11446  direct      fr 2   0.64  0.08  
   11093     11446  direct      fr 2   0.66  0.35  
   11222     11446  direct      fr 2   0.77  0.62  

   11663     11935  direct      fr 2   0.75  0.81  
   11693     11935  direct      fr 2   0.81  0.36  
   11741     11935  direct      fr 2   0.76  0.08  
   11840     11935  direct      fr 2   0.55  0.02  

   11922     12191  direct      fr 3   0.60  0.88  
   12006     12191  direct      fr 3   0.68  0.05  

   12584     15799  direct      fr 2   0.65  0.02  
   12593     15799  direct      fr 2   0.65  0.07  
   12653     15799  direct      fr 2   0.66  0.10  
   12680     15799  direct      fr 2   0.66  0.12  
   12698     15799  direct      fr 2   0.66  0.28  
   12719     15799  direct      fr 2   0.67  0.26  
   13499     15799  direct      fr 2   0.67  0.53  
   13595     15799  direct      fr 2   0.66  0.39  

   15793     16464  direct      fr 1   0.74  0.44  
   15811     16464  direct      fr 1   0.75  0.28  
   15835     16464  direct      fr 1   0.76  0.07  
   15892     16464  direct      fr 1   0.77  0.84  
   15895     16464  direct      fr 1   0.77  0.87  

   16461     17357  direct      fr 3   0.75  0.40  
   16485     17357  direct      fr 3   0.77  0.77  
   16515     17357  direct      fr 3   0.80  0.42  
   16677     17357  direct      fr 3   0.77  0.26  
   17031     17357  direct      fr 3   0.59  0.07  

   17888     18421  direct      fr 2   0.86  0.68  
   17945     18421  direct      fr 2   0.90  0.02  
   17981     18421  direct      fr 2   0.90  0.72  
   18155     18421  direct      fr 2   0.86  0.09  

   18455     20251  complement  fr 1   0.76  0.99  
   18455     20179  complement  fr 1   0.76  0.01  
   18455     20125  complement  fr 1   0.76  0.22  
   18455     19999  complement  fr 1   0.80  0.16  
   18455     19924  complement  fr 1   0.81  0.68  

   20358     21641  complement  fr 2   0.84  0.74  
   20358     21596  complement  fr 2   0.85  0.37  
   20358     21548  complement  fr 2   0.85  0.08  
   20358     21509  complement  fr 2   0.86  0.19  

   21638     22687  complement  fr 1   0.78  0.96  
   21638     22618  complement  fr 1   0.80  0.04  
   21638     22567  complement  fr 1   0.80  0.03  
   21638     22111  complement  fr 1   0.75  0.25  
   21638     22084  complement  fr 1   0.73  0.50  

   22691     23095  complement  fr 1   0.87  0.54  
   22691     23071  complement  fr 1   0.87  0.46  
   22691     22936  complement  fr 1   0.80  0.18  

   23095     23562  complement  fr 3   0.78  0.91  
   23095     23379  complement  fr 3   0.78  0.08  
   23095     23256  complement  fr 3   0.63  0.03  
   23095     23253  complement  fr 3   0.63  0.02  

   23578     24369  complement  fr 3   0.80  0.65  
   23578     24345  complement  fr 3   0.83  0.98  
   23578     24297  complement  fr 3   0.82  0.01  
   23578     24204  complement  fr 3   0.81  0.67  

   24468     25418  complement  fr 2   0.69  0.23  
   24468     25355  complement  fr 2   0.73  0.71  
   24468     25325  complement  fr 2   0.74  0.19  
   24468     25316  complement  fr 2   0.73  0.32  

   25682     26434  direct      fr 2   0.87  0.39  
   25832     26434  direct      fr 2   0.92  0.90  
   25904     26434  direct      fr 2   0.91  0.01  
   26066     26434  direct      fr 2   0.87  0.12  

   26490     26786  direct      fr 3   0.56  0.02  
   26625     26786  direct      fr 3   0.73  0.25  
   26667     26786  direct      fr 3   0.63  0.67  
   26694     26786  direct      fr 3   0.55  0.06  

   26764     27225  complement  fr 3   0.68  0.81  
   26764     27219  complement  fr 3   0.68  0.67  
   26764     27141  complement  fr 3   0.68  0.51  
   26764     27135  complement  fr 3   0.68  0.67  
   26764     26967  complement  fr 3   0.53  0.80  

   27341     28183  direct      fr 2   0.81  0.35  
   27347     28183  direct      fr 2   0.81  0.24  
   27374     28183  direct      fr 2   0.84  0.34  
   27830     28183  direct      fr 2   0.86  0.25  
   27860     28183  direct      fr 2   0.86  0.76  

   28200     30248  direct      fr 3   0.76  0.54  
   28461     30248  direct      fr 3   0.76  0.10  
   28467     30248  direct      fr 3   0.76  0.18  
   28473     30248  direct      fr 3   0.76  0.05  

   30395     31390  direct      fr 2   0.76  0.16  
   30668     31390  direct      fr 2   0.81  0.08  
   30749     31390  direct      fr 2   0.79  0.01  
   30806     31390  direct      fr 2   0.79  0.50  

   31449     32042  direct      fr 3   0.83  0.22  
   31500     32042  direct      fr 3   0.90  0.66  
   31542     32042  direct      fr 3   0.92  0.32  
   31617     32042  direct      fr 3   0.90  0.33  
   31626     32042  direct      fr 3   0.90  0.10  

   32229     33710  direct      fr 3   0.84  0.45  
   32358     33710  direct      fr 3   0.86  0.77  
   32442     33710  direct      fr 3   0.85  0.04  

   33718     34173  complement  fr 3   0.64  0.10  
   33718     34164  complement  fr 3   0.65  0.05  
   33718     34110  complement  fr 3   0.73  0.27  
   33718     34098  complement  fr 3   0.75  0.72  
   33718     34032  complement  fr 3   0.71  0.01  
   33718     34029  complement  fr 3   0.71  0.01  
   33718     33990  complement  fr 3   0.68  0.04  

   34177     34671  complement  fr 3   0.68  0.21  

   34829     35191  complement  fr 1   0.76  0.70  
   34829     35161  complement  fr 1   0.81  0.35  
   34829     35158  complement  fr 1   0.81  0.32  
   34829     34975  complement  fr 1   0.60  0.18  

   35300     36265  direct      fr 2   0.85  0.59  
   35372     36265  direct      fr 2   0.87  0.62  
   35429     36265  direct      fr 2   0.86  0.35  
   35471     36265  direct      fr 2   0.86  0.35  

   36262     37059  complement  fr 3   0.84  0.01  
   36262     37008  complement  fr 3   0.83  0.36  
   36262     36909  complement  fr 3   0.86  0.62  
   36262     36900  complement  fr 3   0.86  0.71  

   37246     38217  complement  fr 3   0.80  0.00  
   37246     38079  complement  fr 3   0.85  0.40  
   37246     38061  complement  fr 3   0.84  0.17  
   37246     37977  complement  fr 3   0.83  0.28  

   38285     38848  direct      fr 2   0.76  0.16  
   38522     38848  direct      fr 2   0.73  0.01  
   38573     38848  direct      fr 2   0.68  0.50  

   38880     39716  direct      fr 3   0.85  0.26  
   38946     39716  direct      fr 3   0.89  0.20  
   38958     39716  direct      fr 3   0.89  0.24  
   39030     39716  direct      fr 3   0.88  0.05  

   39713     40291  direct      fr 2   0.77  0.61  
   39728     40291  direct      fr 2   0.78  0.53  
   39731     40291  direct      fr 2   0.78  0.42  
   39947     40291  direct      fr 2   0.81  0.25  
   40085     40291  direct      fr 2   0.74  0.06  
   40139     40291  direct      fr 2   0.67  0.24  

   40491     40901  direct      fr 3   0.57  0.48  
   40509     40901  direct      fr 3   0.59  0.07  
   40650     40901  direct      fr 3   0.76  0.68  
   40806     40901  direct      fr 3   0.56  0.41  

   40906     41424  direct      fr 1   0.71  0.45  
   40987     41424  direct      fr 1   0.78  0.33  
   41155     41424  direct      fr 1   0.76  0.60  

   41431     42447  complement  fr 3   0.71  0.36  
   41431     42318  complement  fr 3   0.71  0.19  
   41431     42105  complement  fr 3   0.71  0.10  
   41431     42084  complement  fr 3   0.70  0.33  

   42469     43548  complement  fr 3   0.81  0.62  
   42469     43437  complement  fr 3   0.81  0.42  
   42469     43359  complement  fr 3   0.79  0.03  
   42469     43152  complement  fr 3   0.87  0.22  

   43659     44687  direct      fr 3   0.84  0.81  
   43830     44687  direct      fr 3   0.84  0.05  
   43833     44687  direct      fr 3   0.84  0.03  
   43917     44687  direct      fr 3   0.85  0.64  

   44961     45956  direct      fr 3   0.74  0.83  
   45036     45956  direct      fr 3   0.76  0.29  
   45174     45956  direct      fr 3   0.74  0.09  
   45309     45956  direct      fr 3   0.70  0.04  

   46180     48162  direct      fr 1   0.85  0.03  
   46381     48162  direct      fr 1   0.90  0.59  
   46462     48162  direct      fr 1   0.90  0.20  
   46474     48162  direct      fr 1   0.90  0.23  

   48215     48985  complement  fr 1   0.73  0.78  
   48215     48901  complement  fr 1   0.77  0.90  
   48215     48868  complement  fr 1   0.76  0.24  
   48215     48823  complement  fr 1   0.75  0.05  

   49177     49968  direct      fr 1   0.64  0.30  
   49234     49968  direct      fr 1   0.68  0.49  
   49240     49968  direct      fr 1   0.68  0.75  
   49306     49968  direct      fr 1   0.66  0.03  

   49978     50829  direct      fr 1   0.58  0.01  
   50323     50829  direct      fr 1   0.54  0.22  
   50326     50829  direct      fr 1   0.54  0.07  
   50365     50829  direct      fr 1   0.53  0.09  
   50479     50829  direct      fr 1   0.59  0.06  

   50987     54355  direct      fr 2   0.82  0.20  
   51113     54355  direct      fr 2   0.84  0.78  
   51971     54355  direct      fr 2   0.82  0.19  
   52007     54355  direct      fr 2   0.82  0.67  

   54356     56845  direct      fr 2   0.77  0.40  
   54809     56845  direct      fr 2   0.76  0.83  
   54839     56845  direct      fr 2   0.76  0.37  
   54908     56845  direct      fr 2   0.75  0.07  

   56848     57822  direct      fr 1   0.75  0.26  
   56968     57822  direct      fr 1   0.81  0.28  
   56974     57822  direct      fr 1   0.81  0.07  
   57013     57822  direct      fr 1   0.82  0.35  
   57037     57822  direct      fr 1   0.83  0.21  
   57187     57822  direct      fr 1   0.85  0.53  
   57271     57822  direct      fr 1   0.85  0.53  

   57847     58497  complement  fr 3   0.84  0.62  
   57847     58461  complement  fr 3   0.89  0.13  
   57847     58017  complement  fr 3   0.66  0.04  
   57847     57981  complement  fr 3   0.58  0.35  

   58499     59878  complement  fr 1   0.88  0.15  
   58499     59863  complement  fr 1   0.89  0.65  
   58499     59773  complement  fr 1   0.90  0.29  
   58499     59701  complement  fr 1   0.89  0.22  
   58499     59311  complement  fr 1   0.90  0.87  

   60024     62021  direct      fr 3   0.79  0.04  
   60057     62021  direct      fr 3   0.79  0.60  
   60072     62021  direct      fr 3   0.79  0.67  
   60156     62021  direct      fr 3   0.79  0.48  

   62080     63141  direct      fr 1   0.79  0.27  
   62161     63141  direct      fr 1   0.78  0.12  
   62251     63141  direct      fr 1   0.77  0.58  

   63141     65621  direct      fr 3   0.84  0.16  
   63285     65621  direct      fr 3   0.87  0.74  
   63351     65621  direct      fr 3   0.86  0.02  
   63375     65621  direct      fr 3   0.86  0.01  

   66696     66902  direct      fr 3   0.59  0.82  

   67711     69096  complement  fr 3   0.91  0.57  
   67711     68829  complement  fr 3   0.93  0.29  
   67711     68817  complement  fr 3   0.93  0.15  
   67711     68793  complement  fr 3   0.93  0.15  

   69099     69899  complement  fr 2   0.72  0.07  
   69099     69791  complement  fr 2   0.74  0.08  
   69099     69776  complement  fr 2   0.73  0.03  
   69099     69770  complement  fr 2   0.73  0.13  

   70001     71182  direct      fr 2   0.79  0.02  
   70262     71182  direct      fr 2   0.84  0.17  
   70376     71182  direct      fr 2   0.83  0.59  
   70472     71182  direct      fr 2   0.83  0.37  

   71184     71741  direct      fr 3   0.75  0.36  
   71553     71741  direct      fr 3   0.75  0.77  
   71589     71741  direct      fr 3   0.70  0.25  

   71752     73335  complement  fr 3   0.87  0.41  
   71752     73209  complement  fr 3   0.89  0.73  
   71752     73020  complement  fr 3   0.89  0.01  
   71752     72684  complement  fr 3   0.87  0.02  
   71752     72582  complement  fr 3   0.86  0.37  

   73351     73590  complement  fr 3   0.67  0.62  
   73351     73584  complement  fr 3   0.70  0.14  
   73351     73464  complement  fr 3   0.51  0.03  

   73685     74311  complement  fr 1   0.76  0.26  
   73685     74017  complement  fr 1   0.74  0.29  
   73685     73948  complement  fr 1   0.69  0.34  
   73685     73876  complement  fr 1   0.70  0.16  
   73685     73855  complement  fr 1   0.66  0.03  

   74311     75771  complement  fr 3   0.93  0.70  
   74311     75684  complement  fr 3   0.94  0.18  
   74311     75654  complement  fr 3   0.94  0.02  
   74311     75390  complement  fr 3   0.94  0.17  

   75842     76606  complement  fr 1   0.51  0.94  
   75842     76561  complement  fr 1   0.54  0.00  
   75842     76474  complement  fr 1   0.54  0.04  
   75842     76438  complement  fr 1   0.54  0.14  
   75842     76375  complement  fr 1   0.57  0.50  
   75842     76297  complement  fr 1   0.61  0.41  
   75842     76294  complement  fr 1   0.62  0.20  
   75842     76282  complement  fr 1   0.63  0.22  
   75842     76246  complement  fr 1   0.62  0.06  

   76281     76505  direct      fr 3   0.52  0.23  
   76296     76505  direct      fr 3   0.55  0.44  

   76746     77390  complement  fr 2   0.73  0.17  
   76746     76877  complement  fr 2   0.58  0.02  

   77514     78563  direct      fr 3   0.62  0.12  
   77574     78563  direct      fr 3   0.64  0.03  
   77598     78563  direct      fr 3   0.66  0.52  
   77604     78563  direct      fr 3   0.66  0.60  
   77685     78563  direct      fr 3   0.70  0.17  
   77736     78563  direct      fr 3   0.70  0.24  
   77796     78563  direct      fr 3   0.68  0.18  

   78550     78894  complement  fr 3   0.65  0.53  
   78550     78768  complement  fr 3   0.67  0.38  
   78550     78678  complement  fr 3   0.58  0.56  

   78997     79410  complement  fr 3   0.64  0.80  
   78997     79308  complement  fr 3   0.64  0.05  

   79400     80023  complement  fr 1   0.71  0.45  
   79400     79996  complement  fr 1   0.73  0.64  
   79400     79984  complement  fr 1   0.75  0.19  
   79400     79930  complement  fr 1   0.73  0.61  
   79400     79879  complement  fr 1   0.71  0.33  

   80049     81299  direct      fr 3   0.70  0.10  
   80208     81299  direct      fr 3   0.72  0.17  
   80376     81299  direct      fr 3   0.69  0.24  
   80622     81299  direct      fr 3   0.80  0.75  

   81342     83537  direct      fr 3   0.77  0.29  
   81396     83537  direct      fr 3   0.78  0.19  
   81465     83537  direct      fr 3   0.79  0.37  
   81480     83537  direct      fr 3   0.79  0.19  
   81549     83537  direct      fr 3   0.80  0.59  
   81933     83537  direct      fr 3   0.79  0.41  

   83562     84752  direct      fr 3   0.51  0.14  
   83646     84752  direct      fr 3   0.53  0.26  
   83649     84752  direct      fr 3   0.53  0.20  
   83733     84752  direct      fr 3   0.54  0.19  
   83736     84752  direct      fr 3   0.54  0.09  
   83892     84752  direct      fr 3   0.59  0.40  
   83904     84752  direct      fr 3   0.59  0.24  
   84069     84752  direct      fr 3   0.52  0.04  

   84793     85035  complement  fr 3   0.66  0.59  
   84793     84927  complement  fr 3   0.53  0.21  

   85214     85618  direct      fr 2   0.71  0.08  
   85301     85618  direct      fr 2   0.83  0.35  
   85322     85618  direct      fr 2   0.82  0.35  
   85439     85618  direct      fr 2   0.73  0.12  

   85618     86532  direct      fr 1   0.50  0.02  
   86233     86532  direct      fr 1   0.51  0.17  
   86278     86532  direct      fr 1   0.54  0.10  

   86701     87873  complement  fr 3   0.85  0.92  
   86701     87768  complement  fr 3   0.85  0.19  
   86701     87711  complement  fr 3   0.85  0.06  
   86701     87096  complement  fr 3   0.79  0.08  

   88343     88498  complement  fr 1   0.68  0.29  
   88343     88489  complement  fr 1   0.68  0.52  
   88343     88447  complement  fr 1   0.55  0.05  

   88705     88872  direct      fr 1   0.69  0.18  

   88874     89473  direct      fr 2   0.80  0.64  
   88916     89473  direct      fr 2   0.85  0.46  
   89129     89473  direct      fr 2   0.79  0.02  
   89228     89473  direct      fr 2   0.72  0.04  

   89505     90374  complement  fr 2   0.88  0.25  
   89505     90332  complement  fr 2   0.92  0.48  
   89505     90302  complement  fr 2   0.92  0.17  
   89505     90299  complement  fr 2   0.92  0.15  

   90539     92584  direct      fr 2   0.83  0.11  
   90650     92584  direct      fr 2   0.88  0.57  
   90806     92584  direct      fr 2   0.88  0.09  
   90923     92584  direct      fr 2   0.87  0.35  

   92586     93800  complement  fr 2   0.88  0.44  
   92586     93770  complement  fr 2   0.90  0.70  
   92586     93698  complement  fr 2   0.90  0.03  
   92586     93638  complement  fr 2   0.90  0.45  
   92586     93563  complement  fr 2   0.89  0.16  

   93937     94278  direct      fr 1   0.61  0.95  
   94111     94278  direct      fr 1   0.51  0.10  

   94367     94843  direct      fr 2   0.71  0.86  
   94403     94843  direct      fr 2   0.77  0.91  
   94439     94843  direct      fr 2   0.81  0.29  
   94466     94843  direct      fr 2   0.79  0.12  
   94706     94843  direct      fr 2   0.67  0.02  

   94794     95339  direct      fr 3   0.57  0.00  
   94851     95339  direct      fr 3   0.64  0.31  
   94980     95339  direct      fr 3   0.66  0.03  

   95336     96607  direct      fr 2   0.90  0.39  
   95414     96607  direct      fr 2   0.91  0.00  
   95477     96607  direct      fr 2   0.91  0.54  
   95498     96607  direct      fr 2   0.91  0.10  

   96604     97479  direct      fr 1   0.84  0.96  
   96814     97479  direct      fr 1   0.90  0.06  
   96955     97479  direct      fr 1   0.90  0.38  
   96976     97479  direct      fr 1   0.89  0.51  

   97836     98525  direct      fr 3   0.76  0.85  
   97920     98525  direct      fr 3   0.83  0.03  
   97965     98525  direct      fr 3   0.82  0.32  
   98076     98525  direct      fr 3   0.81  0.02  

   98528     99631  direct      fr 2   0.73  0.94  
   98717     99631  direct      fr 2   0.74  0.03  
   98753     99631  direct      fr 2   0.75  0.08  
   98795     99631  direct      fr 2   0.77  0.15  
   98816     99631  direct      fr 2   0.78  0.04  
   98912     99631  direct      fr 2   0.81  0.39  
   99011     99631  direct      fr 2   0.78  0.52  

   99588    100487  direct      fr 3   0.82  0.27  
   99591    100487  direct      fr 3   0.83  0.20  
   99624    100487  direct      fr 3   0.86  0.58  
   99660    100487  direct      fr 3   0.88  0.84  
   99801    100487  direct      fr 3   0.87  0.02  
   99843    100487  direct      fr 3   0.87  0.81  

  100489    101262  direct      fr 1   0.88  0.75  
  100546    101262  direct      fr 1   0.90  0.29  
  100618    101262  direct      fr 1   0.88  0.01  
  100690    101262  direct      fr 1   0.87  0.21  

  101277    102308  direct      fr 3   0.89  0.98  
  101307    102308  direct      fr 3   0.92  0.03  
  101367    102308  direct      fr 3   0.92  0.21  
  101382    102308  direct      fr 3   0.92  0.15  

  104847    105002  direct      fr 3   0.71  0.35  

  108079    108744  direct      fr 1   0.80  0.63  
  108175    108744  direct      fr 1   0.77  0.11  
  108526    108744  direct      fr 1   0.57  0.08  

  108737    109744  complement  fr 1   0.75  0.10  
  108737    109471  complement  fr 1   0.72  0.10  
  108737    109279  complement  fr 1   0.70  0.06  
  108737    109078  complement  fr 1   0.54  0.50  

  109741    111693  complement  fr 3   0.86  0.40  
  109741    111603  complement  fr 3   0.87  0.25  
  109741    111555  complement  fr 3   0.87  0.11  
  109741    111549  complement  fr 3   0.87  0.03  

  111783    112868  complement  fr 2   0.71  0.76  
  111783    112817  complement  fr 2   0.73  0.12  
  111783    112730  complement  fr 2   0.71  0.25  
  111783    112343  complement  fr 2   0.53  0.07  

  112865    114181  complement  fr 1   0.68  0.43  
  112865    113881  complement  fr 1   0.65  0.07  
  112865    113743  complement  fr 1   0.64  0.19  
  112865    113518  complement  fr 1   0.52  0.23  

  114230    115081  direct      fr 2   0.81  0.42  
  114305    115081  direct      fr 2   0.84  0.12  
  114371    115081  direct      fr 2   0.89  0.84  
  114590    115081  direct      fr 2   0.89  0.07  
  114596    115081  direct      fr 2   0.89  0.18  
  114626    115081  direct      fr 2   0.88  0.14  

  115091    115312  direct      fr 2   0.59  0.80  
  115139    115312  direct      fr 2   0.73  0.15  
  115166    115312  direct      fr 2   0.67  0.10  

  115542    117470  direct      fr 3   0.73  0.62  
  115602    117470  direct      fr 3   0.72  0.22  
  115611    117470  direct      fr 3   0.72  0.11  

  117489    118688  direct      fr 3   0.87  0.94  
  117894    118688  direct      fr 3   0.87  0.06  
  117930    118688  direct      fr 3   0.87  0.34  
  118083    118688  direct      fr 3   0.91  0.05  

  118688    119779  direct      fr 2   0.87  0.52  
  118751    119779  direct      fr 2   0.92  0.10  
  119075    119779  direct      fr 2   0.88  0.25  
  119195    119779  direct      fr 2   0.87  0.82  

  119787    121184  direct      fr 3   0.84  0.44  
  119820    121184  direct      fr 3   0.86  0.86  
  119877    121184  direct      fr 3   0.87  0.06  
  120390    121184  direct      fr 3   0.88  0.32  
  120594    121184  direct      fr 3   0.87  0.09  

  121247    122341  complement  fr 1   0.84  0.12  
  121247    122323  complement  fr 1   0.86  0.21  
  121247    122260  complement  fr 1   0.89  0.28  
  121247    121912  complement  fr 1   0.86  0.06  
  121247    121900  complement  fr 1   0.85  0.05  

  122385    124463  complement  fr 2   0.84  0.09  
  122385    124394  complement  fr 2   0.85  0.45  
  122385    124265  complement  fr 2   0.89  0.57  
  122385    124133  complement  fr 2   0.91  0.41  

  125228    125503  direct      fr 2   0.73  0.98  
  125360    125503  direct      fr 2   0.66  0.39  

  125746    126372  direct      fr 1   0.84  0.89  
  125761    126372  direct      fr 1   0.85  0.74  
  125935    126372  direct      fr 1   0.84  0.09  
  125998    126372  direct      fr 1   0.85  0.31  

  126415    127131  complement  fr 3   0.78  0.28  
  126415    127056  complement  fr 3   0.83  0.22  
  126415    127032  complement  fr 3   0.83  0.12  
  126415    126951  complement  fr 3   0.81  0.05  
  126415    126858  complement  fr 3   0.81  0.35  

  127171    127884  direct      fr 1   0.72  0.30  
  127183    127884  direct      fr 1   0.72  0.12  
  127189    127884  direct      fr 1   0.73  0.07  
  127309    127884  direct      fr 1   0.78  0.25  
  127429    127884  direct      fr 1   0.73  0.44  

  128037    128264  direct      fr 3   0.54  0.14  

  128251    129549  direct      fr 1   0.84  0.19  
  128257    129549  direct      fr 1   0.85  0.23  
  128782    129549  direct      fr 1   0.82  0.12  
  128854    129549  direct      fr 1   0.82  0.00  
  129028    129549  direct      fr 1   0.90  0.09  
  129214    129549  direct      fr 1   0.86  0.24  

  129546    130337  direct      fr 3   0.83  0.92  
  129717    130337  direct      fr 3   0.86  0.16  
  130032    130337  direct      fr 3   0.81  0.54  
  130137    130337  direct      fr 3   0.75  0.08  

  130361    131395  direct      fr 2   0.76  0.06  
  130541    131395  direct      fr 2   0.83  0.24  
  130646    131395  direct      fr 2   0.82  0.24  
  130835    131395  direct      fr 2   0.78  0.02  

  131445    131933  complement  fr 2   0.83  0.46  
  131445    131888  complement  fr 2   0.86  0.34  
  131445    131846  complement  fr 2   0.85  0.15  

  131928    132674  direct      fr 3   0.72  0.27  
  131955    132674  direct      fr 3   0.75  0.56  
  131985    132674  direct      fr 3   0.78  0.14  
  131997    132674  direct      fr 3   0.78  0.21  
  132075    132674  direct      fr 3   0.76  0.29  

  132577    134070  direct      fr 1   0.84  0.09  
  132610    134070  direct      fr 1   0.86  0.12  
  132619    134070  direct      fr 1   0.87  0.15  
  132658    134070  direct      fr 1   0.88  0.07  
  132949    134070  direct      fr 1   0.87  0.13  
  133027    134070  direct      fr 1   0.86  0.41  

  134134    134700  direct      fr 1   0.76  0.59  
  134359    134700  direct      fr 1   0.79  0.42  

  134725    135528  complement  fr 3   0.67  0.06  
  134725    135345  complement  fr 3   0.68  0.13  
  134725    135312  complement  fr 3   0.67  0.11  
  134725    135300  complement  fr 3   0.67  0.18  

  135626    138256  complement  fr 1   0.86  0.59  
  135626    138130  complement  fr 1   0.86  0.06  
  135626    138127  complement  fr 1   0.86  0.03  
  135626    138040  complement  fr 1   0.88  0.61  

  138354    138788  complement  fr 2   0.54  0.47  
  138354    138782  complement  fr 2   0.54  0.68  

  138846    139667  complement  fr 2   0.76  0.84  
  138846    139583  complement  fr 2   0.77  0.08  
  138846    139499  complement  fr 2   0.77  0.04  
  138846    139421  complement  fr 2   0.75  0.25  

  139815    140171  complement  fr 2   0.71  0.10  
  139815    140045  complement  fr 2   0.73  0.26  
  139815    140006  complement  fr 2   0.70  0.49  
  139815    139997  complement  fr 2   0.69  0.35  

  140561    141565  direct      fr 2   0.79  0.98  
  140642    141565  direct      fr 2   0.81  0.16  
  140684    141565  direct      fr 2   0.80  0.07  
  140765    141565  direct      fr 2   0.78  0.19  

  141562    143895  direct      fr 1   0.84  0.83  
  141853    143895  direct      fr 1   0.84  0.02  
  141868    143895  direct      fr 1   0.84  0.06  
  141910    143895  direct      fr 1   0.84  0.18  

  143892    145172  direct      fr 3   0.77  0.12  
  143982    145172  direct      fr 3   0.83  0.41  
  143991    145172  direct      fr 3   0.83  0.74  
  144174    145172  direct      fr 3   0.84  0.15  
  144255    145172  direct      fr 3   0.84  0.75  
  144264    145172  direct      fr 3   0.84  0.45  

  145216    146043  direct      fr 1   0.88  0.14  
  145528    146043  direct      fr 1   0.84  0.51  
  145591    146043  direct      fr 1   0.81  0.03  
  145624    146043  direct      fr 1   0.80  0.03  

  146162    147817  direct      fr 2   0.94  0.96  
  146207    147817  direct      fr 2   0.96  0.04  
  146396    147817  direct      fr 2   0.96  0.01  
  146579    147817  direct      fr 2   0.96  0.25  
  146744    147817  direct      fr 2   0.96  0.19  

  147826    148308  direct      fr 1   0.64  0.19  
  148048    148308  direct      fr 1   0.60  0.31  

  148308    149894  direct      fr 3   0.92  0.40  
  148362    149894  direct      fr 3   0.92  0.35  
  148395    149894  direct      fr 3   0.92  0.19  

  149948    151639  complement  fr 1   0.74  0.54  
  149948    151522  complement  fr 1   0.76  0.36  
  149948    151519  complement  fr 1   0.76  0.26  
  149948    151489  complement  fr 1   0.77  0.11  
  149948    151213  complement  fr 1   0.75  0.07  
